,student,balance,income,default
1,No,729.5264952,44361.62507,No
2,Yes,817.1804066,12106.1347,No
3,No,1073.549164,31767.13895,No
4,No,529.2506047,35704.49394,No
5,No,785.6558829,38463.49588,No
6,Yes,919.5885305,7491.558572,No
7,No,825.5133305,24905.22658,No
8,Yes,808.6675043,17600.45134,No
9,No,1161.057854,37468.52929,No
10,No,0,29275.26829,No
11,Yes,0,21871.07309,No
12,Yes,1220.583753,13268.56222,No
13,No,237.045114,28251.69534,No
14,No,606.7423433,44994.55585,No
15,No,1112.968401,23810.17405,No
16,No,286.2325601,45042.41304,No
17,No,0,50265.31235,No
18,Yes,527.5401841,17636.53962,No
19,No,485.9368642,61566.10612,No
20,No,1095.072735,26464.63139,No
21,No,228.9525496,50500.1822,No
22,No,954.2617928,32457.50908,No
23,No,1055.956605,51317.88308,No
24,No,641.9843888,30466.10326,No
25,No,773.2117245,34353.31431,No
26,No,855.0085225,25211.33216,No
27,No,642.9997385,41473.5118,No
28,No,1454.863272,32189.09495,No
29,No,615.7042766,39376.39462,No
30,Yes,1119.569353,16556.07021,No
31,No,494.8162288,54384.78284,No
32,Yes,448.8806563,15799.47041,No
33,Yes,584.9048947,22429.93505,No
34,No,913.5871726,46907.2254,No
35,Yes,1423.938917,22634.48809,No
36,Yes,1499.724657,13190.65272,No
37,No,692.0341671,47806.61177,No
38,No,351.4534715,35087.48865,No
39,No,742.6276208,37864.82394,No
40,No,653.1184001,39489.5947,No
41,No,872.1386795,41787.56727,No
42,No,837.2626228,51471.77209,No
43,No,1151.630566,42917.46956,No
44,Yes,220.5556084,16872.94756,No
45,Yes,1690.23441,19052.57222,No
46,No,408.7729143,54206.93921,No
47,No,1238.610321,50066.68053,No
48,No,1228.30835,37408.50387,No
49,No,820.9192041,47746.54207,No
50,No,857.4851178,31688.34597,No
51,No,563.6181772,42641.25327,No
52,Yes,1282.972534,13120.63647,No
53,Yes,1505.782675,26557.14145,No
54,Yes,904.0402591,16882.30061,No
55,No,0,49956.58057,No
56,Yes,1294.497347,10464.32073,No
57,Yes,1275.550633,15887.46849,No
58,No,1536.594601,48766.90746,No
59,No,1332.522644,39143.13707,No
60,No,492.0797678,33379.0946,No
61,No,766.2343793,46478.29426,No
62,No,690.1272462,63432.98425,No
63,No,0,32481.54005,No
64,No,1480.655309,36866.15707,No
65,No,989.055597,45344.25132,No
66,No,1302.341835,33695.42623,No
67,No,1044.552343,54696.76598,No
68,No,0,43658.22772,No
69,No,866.0284364,38363.42163,No
70,No,690.8007924,48140.47134,No
71,No,597.757142,31577.61513,No
72,No,429.4854023,51311.2181,No
73,No,1398.156201,39644.94219,No
74,Yes,1578.064099,19886.49395,No
75,No,857.0690531,26655.68897,No
76,Yes,752.459946,16211.27579,No
77,Yes,774.738427,15193.73314,No
78,No,728.3732513,45131.71826,No
79,No,76.99129053,28392.09341,No
80,No,196.4569131,41346.78591,No
81,Yes,948.7479184,14297.61905,No
82,No,431.9208853,39369.88156,No
83,No,461.6381822,46221.21149,No
84,No,572.0157602,33046.31296,No
85,No,335.5681447,51258.44423,No
86,No,510.2375932,60397.71865,No
87,Yes,1005.161306,24038.65204,No
88,Yes,162.4544511,13241.75206,No
89,No,932.5331557,50537.46565,No
90,Yes,893.3304676,11905.68179,No
91,No,1332.782564,44495.16276,No
92,No,1404.383069,35043.10603,No
93,Yes,1148.965139,16578.19212,No
94,No,368.2234257,57596.82584,No
95,No,449.4666288,45950.66672,No
96,No,820.0171126,51584.65732,No
97,Yes,619.7518686,15750.62208,No
98,No,1047.718124,46416.97099,No
99,No,243.8413283,47193.88813,No
100,No,186.5003869,45430.55027,No
101,No,1422.018488,38224.03152,No
102,No,383.798659,61425.28639,No
103,No,1159.435096,45802.10494,No
104,No,882.9919126,17181.73797,No
105,No,1463.232892,65457.85419,No
106,Yes,1722.355846,19311.42294,No
107,Yes,773.9218613,14558.91214,No
108,No,958.1694185,32816.2848,No
109,No,1207.53273,68037.57513,No
110,No,1056.61083,30546.60103,No
111,No,117.6424839,46550.26727,No
112,No,596.9641192,58088.36045,No
113,No,0,47729.62576,No
114,Yes,541.6627553,16335.70344,No
115,No,1119.178303,45020.01912,No
116,Yes,810.3209365,20498.66581,No
117,No,271.5514377,32850.12014,No
118,No,1114.403237,47714.02211,No
119,No,867.0308281,33540.97998,No
120,Yes,1176.789402,17632.7121,No
121,No,610.2278187,42465.36296,No
122,No,272.6156617,55449.33864,No
123,No,449.7350858,49643.42644,No
124,Yes,827.7672094,10673.52623,No
125,No,430.0000994,33925.2196,No
126,No,0,31825.76497,No
127,Yes,1557.344637,18404.59419,No
128,No,928.2369663,33722.15894,No
129,No,1373.450163,49101.79821,No
130,Yes,951.0729075,18601.53324,No
131,Yes,1292.210869,23065.85098,No
132,No,582.1887007,24760.79573,No
133,Yes,339.4246383,19307.98029,No
134,No,409.9823246,44641.09012,No
135,No,1216.45151,53639.84683,No
136,No,598.4613921,44124.26811,No
137,Yes,1486.998122,17854.39703,Yes
138,No,943.7963387,59976.83987,No
139,No,0,49525.74502,No
140,Yes,996.2760868,20883.24077,No
141,Yes,748.3013404,11248.67075,No
142,No,324.7379218,15411.51857,No
143,Yes,575.3821585,16005.68132,No
144,No,441.7382849,36012.2359,No
145,No,1188.64218,39526.56127,No
146,No,95.14768019,51371.19991,No
147,No,1015.614837,43218.79438,No
148,No,1258.567393,44931.67492,No
149,Yes,1178.244414,7750.289221,No
150,No,731.5326563,43956.06008,No
151,No,350.0887921,44455.19952,No
152,No,418.8483454,36901.78333,No
153,No,533.2294652,39393.54248,No
154,No,95.29697413,32359.38903,No
155,Yes,1453.005932,15933.00211,No
156,No,352.644414,39404.74437,No
157,Yes,736.2389355,14107.99397,No
158,No,1306.484572,41224.62502,No
159,No,1149.145627,45194.79466,No
160,No,703.2268907,57679.27914,No
161,Yes,1360.800435,18864.30849,No
162,No,31.44508054,53287.3503,No
163,No,988.2144581,48570.36346,No
164,No,360.0190736,23927.54661,No
165,No,647.4835286,33226.27754,No
166,Yes,0,9816.789438,No
167,No,445.2418192,31974.62451,No
168,Yes,878.5420645,17496.74148,No
169,Yes,335.8341186,21759.87027,No
170,No,666.6088814,30438.46883,No
171,No,813.876647,40737.45978,No
172,No,836.3000716,54607.17874,No
173,No,967.4826837,33055.11027,No
174,Yes,2205.799521,14271.49225,Yes
175,Yes,1258.185219,11672.222,No
176,No,1239.801699,40107.17221,No
177,Yes,0,13760.29846,No
178,Yes,927.8877323,22473.37961,No
179,Yes,1390.030783,21299.09923,No
180,No,410.4977048,53471.21363,No
181,No,73.07654218,30681.73754,No
182,No,790.5977592,45303.10331,No
183,No,789.495097,32579.90021,No
184,No,791.3604221,46319.23612,No
185,No,479.042379,37255.88033,No
186,No,888.6132726,28899.79175,No
187,No,1284.386361,42831.95462,No
188,Yes,712.2763513,23341.95023,No
189,Yes,1290.620169,18408.04908,No
190,No,126.3626854,44280.92979,No
191,No,779.3762577,61158.88511,No
192,No,697.4909575,49476.7596,No
193,No,606.9746135,43610.03302,No
194,Yes,1802.903334,21411.42395,No
195,No,900.0853326,41276.56319,No
196,No,966.280288,33440.9793,No
197,No,671.0613596,35689.11187,No
198,No,171.559116,23505.99277,No
199,No,1482.4803,45260.6116,No
200,No,640.6627517,46464.56593,No
201,Yes,706.1610275,18078.35179,No
202,Yes,1774.694223,20359.50609,Yes
203,No,916.4993169,25768.40745,No
204,No,1271.270812,36053.50295,No
205,No,110.5729098,47339.10875,No
206,No,1747.258882,37819.28909,No
207,No,1889.59919,48956.17159,Yes
208,No,27.20139465,21051.84013,No
209,No,746.2297751,35159.85023,No
210,Yes,1899.390626,20655.2,Yes
211,Yes,813.9945655,20391.52895,No
212,No,499.4578151,38899.16046,No
213,No,853.1613317,36272.45178,No
214,No,474.7273191,32064.33511,No
215,No,1235.876113,35838.77702,No
216,No,620.6751526,44213.7701,No
217,No,220.0285698,37880.02965,No
218,Yes,1304.914299,18074.07542,No
219,Yes,1608.15256,22358.0467,No
220,No,256.4712276,37657.05592,No
221,Yes,1153.604998,19224.97523,No
222,No,771.8958745,31170.08528,No
223,Yes,1099.630422,17064.04283,No
224,No,782.8830297,40357.13343,No
225,No,444.2649062,35924.33879,No
226,No,504.0283787,24780.96124,No
227,No,1762.503402,42124.66007,No
228,Yes,850.0961166,18618.98791,No
229,No,1412.238721,40785.05977,No
230,No,715.4968296,47482.56538,No
231,No,1363.528599,55713.04161,No
232,No,493.2418898,42495.20308,No
233,No,1354.752537,33375.13169,No
234,Yes,571.293911,15416.26935,No
235,No,956.1513522,44086.70773,No
236,No,964.820253,34390.74604,No
237,No,552.634366,50513.16424,No
238,No,338.2662016,37767.23986,No
239,No,709.1233514,44041.63009,No
240,No,978.9782004,57839.05373,No
241,No,371.0101278,15702.70708,No
242,Yes,1572.856481,14930.17833,Yes
243,No,0,40150.21798,No
244,No,1964.476872,39054.58914,Yes
245,No,548.0377834,33605.64947,No
246,No,1257.055222,34045.00882,No
247,No,1189.918057,38016.8939,No
248,No,687.683759,39373.57975,No
249,No,845.6989658,39899.51268,No
250,Yes,957.6848338,19676.34565,No
251,No,233.5168463,43326.10538,No
252,Yes,1126.948744,14298.26457,No
253,Yes,488.8551765,15159.49485,No
254,No,767.9035598,44323.57966,No
255,No,561.9257991,31388.50565,No
256,Yes,1092.270013,17454.60184,No
257,No,71.788683,31965.74471,No
258,Yes,1839.143682,13625.39793,No
